stop_id,stop_skip_rate,stop_count
9022001000806001,0.0,45
9022001000807001,0.0,58
9022001000809001,0.0,58
9022001000810001,0.0,80
9022001000811001,0.0,39
9022001000812001,0.0,30
9022001000813001,0.0,20
9022001000814001,0.0,35
9022001000815001,0.0,51
9022001000816001,0.0,53
9022001000817001,0.0,44
9022001000818001,0.0,54
9022001000819001,0.0,53
9022001000820001,0.0,52
9022001000821001,0.0,49
9022001000823001,0.0,187
9022001000824001,0.0,258
9022001000825001,0.0,237
9022001000826001,0.0,150
9022001000827001,0.0,196
9022001000828001,0.0,136
9022001000829001,0.0,153
9022001000830001,0.0,189
9022001000831001,0.0,48
9022001000832001,0.0,47
9022001000833001,0.0,47
9022001000839001,0.0,144
9022001000840001,0.0,53
9022001000844001,0.0,70
9022001000851001,0.0,105
9022001000901001,0.0,51
9022001000902001,0.0,451
9022001000903001,0.0,687
9022001000904001,0.0,136
9022001000905001,0.0,169
9022001000907001,0.0,275
9022001000908001,0.0,83
9022001000909001,0.0,16
9022001000913001,0.0,15
9022001000951001,0.0,85
9022001000952001,0.0,48
9022001000955001,0.0,653
9022001001011001,0.0004740085321535788,6329
9022001001011002,0.0009519276534983341,6303
9022001001011003,0.0009129085265656381,5477
9022001001011004,0.0023796448837635,5463
9022001001021001,0.0004765687053216839,6295
9022001001021002,0.0007987220447284345,6260
9022001001021003,0.0003698224852071006,5408
9022001001021004,0.0024172554853105245,5378
9022001001051001,0.0,5418
9022001001051002,0.0008001280204832773,6249
9022001001051003,0.00047355958958168905,6335
9022001001051004,0.0025930727912576402,5399
9022001001051005,0.007329587099926704,4093
9022001001051006,0.0007369196757553427,4071
9022001001111001,0.0004748338081671415,6318
9022001001111002,0.001439078989446754,6254
9022001001121001,0.006949928921181488,6331
9022001001121002,0.0014290250873293109,6298
9022001001131001,0.006605850896508336,6358
9022001001131002,0.007209227811598847,6242
9022001001141001,0.008320597724571235,5889
9022001001141002,0.006830601092896175,5856
9022001001151001,0.008221476510067114,5960
9022001001151002,0.006525845783960158,5823
9022001001151003,0.0022113022113022115,4070
9022001001151004,0.0,4099
9022001001161001,0.008358921869669056,5862
9022001001161002,0.0074086836664369405,5804
9022001001171001,0.008316361167684997,5892
9022001001171002,0.006665527260297385,5851
9022001001201001,0.008481764206955046,5895
9022001001201002,0.007070184514571478,5799
9022001001211001,0.0002463054187192118,4060
9022001001211002,0.001233654083395016,4053
9022001001221001,0.0007414730598121602,4046
9022001001221002,0.0012768130745658835,3916
9022001001231001,0.000741839762611276,4044
9022001001231002,0.0012416190712689348,4027
9022001001241001,0.001056338028169014,2840
9022001001241002,0.0007366482504604051,2715
9022001001241003,0.0,1187
9022001001241004,0.001564945226917058,1278
9022001001251001,0.0011503067484662577,2608
9022001001251002,0.0015829046299960427,2527
9022001001261001,0.0011511895625479663,2606
9022001001261002,0.0007864726700747149,2543
9022001001271001,0.001145475372279496,2619
9022001001271002,0.000791765637371338,2526
9022001001281001,0.0011467889908256881,2616
9022001001281002,0.0011904761904761906,2520
9022001001301001,0.0,2089
9022001001301002,0.0004830917874396135,2070
9022001001301003,0.005714285714285714,525
9022001001301004,0.004784688995215311,418
9022001001311001,0.0004791566842357451,2087
9022001001311002,0.0004847309743092584,2063
9022001001321001,0.00047938638542665386,2086
9022001001321002,0.0014534883720930232,2064
9022001001331002,0.00024044241404183698,4159
9022001001511001,0.0006293266205160479,6356
9022001001511002,0.0007957981855801369,6283
9022001001521001,0.0006309148264984228,6340
9022001001521002,0.0006390797251957181,6259
9022001001551001,0.0009501187648456057,4210
9022001001551002,0.0007114062129475931,4217
9022001001551003,0.0,499
9022001001551004,0.0009090909090909091,2200
9022001001551009,0.0005945303210463733,1682
9022001001601001,0.0009216589861751152,2170
9022001001601002,0.0009385265133740028,2131
9022001001601003,0.00141643059490085,2118
9022001001601004,0.0009376465072667605,2133
9022001001611001,0.00047505938242280285,2105
9022001001611002,0.0004791566842357451,2087
9022001001621001,0.00046816479400749064,2136
9022001001621002,0.0009638554216867469,2075
9022001001631001,0.00047596382674916705,2101
9022001001631002,0.00048426150121065375,2065
9022001001641001,0.00047664442326024784,2098
9022001001641002,0.0004837929366231253,2067
9022001001651001,0.000473260766682442,2113
9022001001651002,0.0004833252779120348,2069
9022001001661001,0.0,2112
9022001001661002,0.00048262548262548264,2072
9022001001701001,0.0004906771344455348,2038
9022001001701002,0.00048828125,2048
9022001001701003,0.0,60
9022001001701004,0.0,23
9022001001711001,0.000992063492063492,2016
9022001001711002,0.002926829268292683,2050
9022001001721001,0.0017258382642998027,4056
9022001001811001,0.0009510223490252021,2103
9022001001811002,0.0009272137227630969,2157
9022001001821001,0.0009578544061302681,2088
9022001001821002,0.0009319664492078285,2146
9022001001831001,0.0014499758337361043,2069
9022001001831002,0.0009216589861751152,2170
9022001001841001,0.001411764705882353,2125
9022001001841002,0.0009208103130755065,2172
9022001001851001,0.001183431952662722,1690
9022001001851002,0.0007665772326561902,2609
9022001001861001,0.0030156815440289505,1658
9022001001861002,0.001142857142857143,2625
9022001001871001,0.0018270401948842874,1642
